content_id,title,channel,publish_date,views,clicks,utm_source,utm_medium,utm_campaign
CNT-00129,Youtube piece #129,youtube,2025-01-26,30364,1684,youtube,video,cmp_012
CNT-00130,Newsletter piece #130,newsletter,2024-09-18,5565,237,newsletter,email,cmp_024
CNT-00131,Blog piece #131,blog,2024-06-10,13759,816,blog,content,
CNT-00132,Blog piece #132,blog,2024-09-13,9883,313,blog,content,
CNT-00133,Newsletter piece #133,newsletter,2024-04-19,8502,322,newsletter,email,cmp_030
CNT-00134,Newsletter piece #134,newsletter,2024-10-08,14232,119,newsletter,email,
CNT-00135,Youtube piece #135,youtube,2025-05-23,74000,3577,youtube,video,
CNT-00136,Twitter piece #136,twitter,2024-07-13,50,2,twitter,social,
CNT-00137,Blog piece #137,blog,2024-05-20,609,25,blog,content,cmp_016
CNT-00138,Instagram piece #138,instagram,2024-05-14,1412,17,instagram,social,
CNT-00139,Twitter piece #139,twitter,2024-07-24,18047,1056,twitter,social,
CNT-00140,Twitter piece #140,twitter,2024-09-20,18618,1033,twitter,social,
CNT-00141,Instagram piece #141,instagram,2024-12-12,26958,321,instagram,social,cmp_013
CNT-00142,Podcast piece #142,podcast,2025-01-09,5465,69,podcast,audio,cmp_005
CNT-00143,Newsletter piece #143,newsletter,2025-01-12,4657,178,newsletter,email,
CNT-00144,Youtube piece #144,youtube,2024-08-27,9315,302,youtube,video,
CNT-00145,Instagram piece #145,instagram,2024-08-14,10755,345,instagram,social,
CNT-00146,Youtube piece #146,youtube,2024-05-23,14306,148,,video,
CNT-00147,Youtube piece #147,youtube,2024-04-09,48197,1359,youtube,video,
CNT-00148,Blog piece #148,blog,2025-03-05,10450,402,blog,content,
CNT-00149,Blog piece #149,blog,2024-04-11,8498,482,blog,content,
CNT-00150,Twitter piece #150,twitter,2025-03-30,3388,105,twitter,social,cmp_017
CNT-00151,Podcast piece #151,podcast,2025-01-02,21714,1266,podcast,audio,
CNT-00152,Youtube piece #152,youtube,2024-08-05,53055,2194,youtube,video,cmp_012
CNT-00153,Twitter piece #153,twitter,2024-05-08,13123,671,twitter,social,
CNT-00154,Twitter piece #154,twitter,2024-12-02,7251,349,twitter,social,
CNT-00155,Instagram piece #155,instagram,2024-05-28,38404,1901,instagram,social,
CNT-00156,Twitter piece #156,twitter,2024-01-16,11297,300,twitter,social,
CNT-00157,Youtube piece #157,youtube,2024-06-27,43644,1304,youtube,video,cmp_018
CNT-00158,Instagram piece #158,instagram,2025-06-09,28840,1121,instagram,social,cmp_022
CNT-00159,Youtube piece #159,youtube,2025-06-17,32642,314,youtube,video,
CNT-00160,Newsletter piece #160,newsletter,2024-04-20,14533,486,newsletter,email,cmp_008
CNT-00161,Instagram piece #161,instagram,2024-05-31,31697,1297,instagram,social,cmp_022
CNT-00162,Podcast piece #162,podcast,2024-10-28,17894,565,podcast,audio,cmp_005
CNT-00163,Blog piece #163,blog,2024-08-08,50,1,blog,content,cmp_020
CNT-00164,Youtube piece #164,youtube,2024-11-16,69037,2084,youtube,video,cmp_011
CNT-00165,Blog piece #165,blog,2025-04-30,12201,156,blog,content,
CNT-00166,Twitter piece #166,twitter,2024-03-02,17565,676,twitter,social,cmp_002
CNT-00167,Newsletter piece #167,newsletter,2024-12-28,16007,480,newsletter,email,cmp_024
CNT-00168,Podcast piece #168,podcast,2024-11-15,50,1,podcast,audio,cmp_027
CNT-00169,Twitter piece #169,twitter,2024-04-20,6599,92,twitter,social,cmp_019
CNT-00170,Podcast piece #170,podcast,2024-01-27,24277,963,podcast,audio,
CNT-00171,Youtube piece #171,youtube,2024-07-03,38330,2143,youtube,video,cmp_011
CNT-00172,Podcast piece #172,podcast,2025-02-14,30095,349,podcast,audio,
CNT-00173,Youtube piece #173,youtube,2025-06-27,51123,1315,youtube,video,
CNT-00174,Podcast piece #174,podcast,2024-03-27,24166,1303,podcast,audio,
CNT-00175,Youtube piece #175,youtube,2024-03-24,39495,1313,youtube,video,cmp_021
CNT-00176,Youtube piece #176,youtube,2024-12-19,84381,2561,youtube,video,
CNT-00177,Newsletter piece #177,newsletter,2025-06-23,7271,207,newsletter,email,cmp_024
CNT-00178,Twitter piece #178,twitter,2024-05-20,10095,481,twitter,social,cmp_019
CNT-00179,Blog piece #179,blog,2025-03-16,7584,338,blog,content,
CNT-00180,Instagram piece #180,instagram,2024-03-14,33529,960,instagram,social,cmp_013
CNT-00181,Youtube piece #181,youtube,2024-11-16,13674,613,youtube,video,cmp_004
CNT-00182,Instagram piece #182,instagram,2024-06-24,14104,700,instagram,social,
CNT-00183,Instagram piece #183,instagram,2024-03-31,16242,497,instagram,social,cmp_010
CNT-00184,Blog piece #184,blog,2024-12-13,6659,129,blog,content,cmp_020
CNT-00185,Youtube piece #185,youtube,2025-06-27,50,1,youtube,video,
CNT-00186,Twitter piece #186,twitter,2024-08-29,11021,147,twitter,social,cmp_015
CNT-00187,Blog piece #187,blog,2024-03-18,8739,294,blog,content,
CNT-00188,Newsletter piece #188,newsletter,2024-11-26,15413,815,newsletter,email,cmp_008
CNT-00189,Newsletter piece #189,newsletter,2025-03-28,2192,84,newsletter,email,cmp_024
CNT-00190,Newsletter piece #190,newsletter,2024-02-08,1707,18,newsletter,email,cmp_008
CNT-00191,Podcast piece #191,podcast,2025-06-03,6129,353,podcast,audio,cmp_023
CNT-00192,Instagram piece #192,instagram,2025-05-02,33545,1142,instagram,social,cmp_010
CNT-00193,Blog piece #193,blog,2024-03-27,3785,79,blog,content,cmp_016
CNT-00194,Podcast piece #194,podcast,2024-06-11,14841,399,podcast,audio,cmp_026
CNT-00195,Blog piece #195,blog,2024-02-23,7268,83,blog,content,
CNT-00196,Instagram piece #196,instagram,2024-09-15,3518,160,instagram,social,
CNT-00197,Twitter piece #197,twitter,2024-12-07,21264,1183,twitter,social,
CNT-00198,Blog piece #198,blog,2025-02-05,8603,126,blog,content,cmp_016
CNT-00199,Newsletter piece #199,newsletter,2024-12-02,10764,550,newsletter,email,
CNT-00200,Podcast piece #200,podcast,2024-04-05,2638,109,podcast,audio,cmp_026
CNT-00201,Instagram piece #201,instagram,2024-07-03,33507,1602,instagram,social,
CNT-00202,Twitter piece #202,twitter,2024-03-20,10011,234,twitter,social,cmp_025
CNT-00203,Blog piece #203,blog,2025-06-23,9171,438,blog,content,cmp_003
CNT-00204,Twitter piece #204,twitter,2024-06-18,13533,615,,social,cmp_015
CNT-00205,Newsletter piece #205,newsletter,2024-10-18,8126,163,newsletter,email,
CNT-00206,Newsletter piece #206,newsletter,2024-07-17,50,1,newsletter,email,
CNT-00207,Newsletter piece #207,newsletter,2024-10-15,8997,267,newsletter,email,cmp_030
CNT-00208,Twitter piece #208,twitter,2024-09-13,3619,38,twitter,social,cmp_002
CNT-00209,Blog piece #209,blog,2025-06-12,7750,369,blog,content,
CNT-00210,Twitter piece #210,twitter,2025-03-23,7253,92,twitter,social,
CNT-00211,Instagram piece #211,instagram,2024-01-28,10586,290,instagram,social,cmp_009
CNT-00212,Youtube piece #212,youtube,2024-11-22,58826,3317,youtube,video,
CNT-00213,Twitter piece #213,twitter,2024-05-20,27615,899,twitter,social,
CNT-00214,Newsletter piece #214,newsletter,2025-04-04,10555,422,newsletter,email,cmp_008
CNT-00215,Twitter piece #215,twitter,2025-06-24,962,19,twitter,social,cmp_025
CNT-00216,Newsletter piece #216,newsletter,2024-03-05,11851,163,newsletter,email,
CNT-00217,Youtube piece #217,youtube,2025-06-11,6698,155,,video,cmp_021
CNT-00218,Newsletter piece #218,newsletter,2024-07-10,4528,192,newsletter,email,
CNT-00219,Youtube piece #219,youtube,2025-06-22,50,1,,video,
CNT-00220,Youtube piece #220,youtube,2025-01-31,32027,1890,youtube,video,cmp_004
CNT-00221,Instagram piece #221,instagram,2024-09-03,20013,962,instagram,social,cmp_007
CNT-00222,Instagram piece #222,instagram,2024-12-12,3536,177,instagram,social,
CNT-00223,Newsletter piece #223,newsletter,2025-05-05,2067,23,newsletter,email,cmp_024
CNT-00224,Twitter piece #224,twitter,2024-02-14,2314,113,twitter,social,cmp_017
CNT-00225,Podcast piece #225,podcast,2025-02-11,26237,555,podcast,audio,cmp_026
CNT-00226,Youtube piece #226,youtube,2024-12-05,42692,948,youtube,video,cmp_018
CNT-00227,Blog piece #227,blog,2025-03-26,8807,516,blog,content,cmp_029
CNT-00228,Podcast piece #228,podcast,2024-09-30,9529,473,podcast,audio,cmp_023
CNT-00229,Podcast piece #229,podcast,2024-10-27,13409,568,podcast,audio,
CNT-00230,Newsletter piece #230,newsletter,2024-06-19,9767,428,newsletter,email,cmp_024
CNT-00231,Podcast piece #231,podcast,2025-03-21,11130,637,,audio,
CNT-00232,Instagram piece #232,instagram,2025-06-09,58490,2904,instagram,social,
CNT-00233,Twitter piece #233,twitter,2025-03-24,14622,708,twitter,social,cmp_025
CNT-00234,Youtube piece #234,youtube,2024-06-06,47185,2043,youtube,video,cmp_004
CNT-00235,Podcast piece #235,podcast,2024-05-20,6087,254,podcast,audio,cmp_023
CNT-00236,Newsletter piece #236,newsletter,2025-06-14,7109,199,newsletter,email,cmp_024
CNT-00237,Blog piece #237,blog,2025-04-01,7093,312,blog,content,cmp_003
CNT-00238,Youtube piece #238,youtube,2025-04-07,81230,1379,youtube,video,
CNT-00239,Blog piece #239,blog,2024-11-23,3205,117,blog,content,cmp_003
CNT-00240,Blog piece #240,blog,2024-06-27,1076,53,blog,content,cmp_003
CNT-00241,Twitter piece #241,twitter,2024-08-30,12417,457,twitter,social,
CNT-00242,Podcast piece #242,podcast,2024-05-12,12989,517,podcast,audio,cmp_027
CNT-00243,Podcast piece #243,podcast,2025-02-24,17013,201,podcast,audio,
CNT-00244,Newsletter piece #244,newsletter,2025-04-22,50,2,newsletter,email,
CNT-00245,Podcast piece #245,podcast,2024-07-05,15527,530,podcast,audio,
CNT-00246,Podcast piece #246,podcast,2024-06-05,10298,245,podcast,audio,
CNT-00247,Twitter piece #247,twitter,2024-12-20,20239,460,,social,cmp_025
CNT-00248,Instagram piece #248,instagram,2024-05-08,16826,681,instagram,social,cmp_009
CNT-00249,Podcast piece #249,podcast,2024-06-06,20984,1152,podcast,audio,
CNT-00250,Youtube piece #250,youtube,2024-01-30,78251,956,youtube,video,
CNT-00251,Instagram piece #251,instagram,2024-08-03,23457,967,instagram,social,
CNT-00252,Instagram piece #252,instagram,2024-11-05,8374,277,instagram,social,
CNT-00253,Instagram piece #253,instagram,2025-04-09,26160,807,instagram,social,cmp_022
CNT-00254,Twitter piece #254,twitter,2024-11-16,13120,692,twitter,social,
CNT-00255,Instagram piece #255,instagram,2025-02-12,30649,1140,instagram,social,cmp_010
CNT-00256,Newsletter piece #256,newsletter,2024-09-10,11381,174,,email,
CNT-00257,Podcast piece #257,podcast,2025-03-04,15195,247,podcast,audio,
CNT-00258,Instagram piece #258,instagram,2024-07-13,48429,2309,instagram,social,cmp_013
CNT-00259,Instagram piece #259,instagram,2025-05-24,53478,1833,instagram,social,cmp_010
CNT-00260,Youtube piece #260,youtube,2024-02-21,54443,1232,youtube,video,
CNT-00261,Blog piece #261,blog,2025-04-26,5897,80,blog,content,cmp_006
CNT-00262,Newsletter piece #262,newsletter,2025-01-09,8599,89,,email,
CNT-00263,Instagram piece #263,instagram,2024-10-22,35997,1718,instagram,social,
CNT-00264,Blog piece #264,blog,2024-05-01,7901,116,blog,content,cmp_006
CNT-00265,Podcast piece #265,podcast,2025-01-09,15187,523,podcast,audio,cmp_023
CNT-00266,Blog piece #266,blog,2024-12-07,3602,179,blog,content,cmp_016
CNT-00267,Twitter piece #267,twitter,2024-12-01,17728,504,twitter,social,
CNT-00268,Podcast piece #268,podcast,2024-12-10,11705,402,podcast,audio,cmp_026
CNT-00269,Newsletter piece #269,newsletter,2024-01-18,3135,184,newsletter,email,
CNT-00270,Blog piece #270,blog,2024-01-28,9965,389,blog,content,
CNT-00271,Podcast piece #271,podcast,2024-08-21,12870,217,podcast,audio,
CNT-00272,Newsletter piece #272,newsletter,2024-05-31,1749,88,newsletter,email,
CNT-00273,Blog piece #273,blog,2024-04-22,7411,220,blog,content,cmp_016
CNT-00274,Podcast piece #274,podcast,2025-04-27,24043,1283,podcast,audio,cmp_023
CNT-00275,Podcast piece #275,podcast,2024-07-31,50,1,podcast,audio,
CNT-00276,Newsletter piece #276,newsletter,2025-06-29,1650,42,newsletter,email,
CNT-00277,Blog piece #277,blog,2024-09-27,4188,87,blog,content,cmp_006
CNT-00278,Instagram piece #278,instagram,2024-07-31,16498,724,instagram,social,cmp_022
CNT-00279,Blog piece #279,blog,2024-10-07,4894,177,blog,content,cmp_006
CNT-00280,Twitter piece #280,twitter,2024-10-24,21135,215,twitter,social,cmp_019
CNT-00281,Blog piece #281,blog,2024-09-19,5958,304,blog,content,
CNT-00282,Instagram piece #282,instagram,2024-05-20,12841,175,instagram,social,cmp_007
CNT-00283,Blog piece #283,blog,2025-06-27,6399,84,blog,content,cmp_020
CNT-00284,Twitter piece #284,twitter,2024-01-06,17181,999,twitter,social,cmp_019
CNT-00285,Newsletter piece #285,newsletter,2024-07-23,8146,186,,email,
CNT-00286,Blog piece #286,blog,2024-08-25,3039,108,blog,content,
CNT-00287,Twitter piece #287,twitter,2025-03-03,15306,854,twitter,social,cmp_019
CNT-00288,Twitter piece #288,twitter,2024-10-23,8981,481,,social,
CNT-00289,Youtube piece #289,youtube,2024-12-09,27511,997,youtube,video,
CNT-00290,Podcast piece #290,podcast,2025-04-24,41421,919,podcast,audio,cmp_027
CNT-00291,Blog piece #291,blog,2024-09-20,5881,150,blog,content,
CNT-00292,Twitter piece #292,twitter,2024-06-28,10810,429,twitter,social,cmp_019
CNT-00293,Podcast piece #293,podcast,2024-12-01,26448,465,podcast,audio,cmp_023
CNT-00294,Youtube piece #294,youtube,2024-09-24,65821,1839,youtube,video,cmp_012
CNT-00295,Instagram piece #295,instagram,2024-01-12,21096,427,instagram,social,cmp_009
CNT-00296,Newsletter piece #296,newsletter,2025-05-29,12519,701,newsletter,email,
CNT-00297,Blog piece #297,blog,2024-04-30,493,13,blog,content,
CNT-00298,Newsletter piece #298,newsletter,2024-06-05,50,1,newsletter,email,cmp_030
CNT-00299,Podcast piece #299,podcast,2025-04-27,15747,802,podcast,audio,
CNT-00300,Podcast piece #300,podcast,2024-03-24,50,1,podcast,audio,cmp_005
CNT-00301,Youtube piece #301,youtube,2025-06-01,54916,909,youtube,video,cmp_028
CNT-00302,Twitter piece #302,twitter,2025-05-15,20530,261,twitter,social,
CNT-00303,Newsletter piece #303,newsletter,2024-05-15,2715,29,newsletter,email,
CNT-00304,Blog piece #304,blog,2024-01-23,5669,162,blog,content,
CNT-00305,Podcast piece #305,podcast,2024-03-15,22939,259,podcast,audio,
CNT-00306,Youtube piece #306,youtube,2025-04-28,51966,501,youtube,video,
CNT-00307,Blog piece #307,blog,2025-03-06,654,20,blog,content,cmp_001
CNT-00308,Blog piece #308,blog,2024-05-16,11381,477,blog,content,cmp_016
CNT-00309,Newsletter piece #309,newsletter,2025-06-25,17278,888,newsletter,email,
CNT-00310,Newsletter piece #310,newsletter,2025-03-10,17556,626,newsletter,email,cmp_024
CNT-00311,Twitter piece #311,twitter,2024-10-09,17537,838,,social,
CNT-00312,Podcast piece #312,podcast,2024-01-17,32006,656,,audio,
CNT-00313,Newsletter piece #313,newsletter,2024-02-19,8047,248,newsletter,email,
CNT-00314,Youtube piece #314,youtube,2024-05-23,53117,1816,youtube,video,
CNT-00315,Blog piece #315,blog,2024-11-22,524,26,blog,content,
CNT-00316,Blog piece #316,blog,2025-06-17,3101,60,blog,content,cmp_016
CNT-00317,Blog piece #317,blog,2024-06-28,3329,112,blog,content,
CNT-00318,Blog piece #318,blog,2025-01-25,3295,160,blog,content,cmp_003
CNT-00319,Instagram piece #319,instagram,2025-01-20,28620,587,instagram,social,
CNT-00320,Twitter piece #320,twitter,2025-04-19,20185,1121,twitter,social,
CNT-00321,Podcast piece #321,podcast,2025-06-26,19468,361,podcast,audio,
CNT-00322,Instagram piece #322,instagram,2024-04-04,29348,1052,instagram,social,cmp_013
CNT-00323,Blog piece #323,blog,2024-02-10,7629,363,blog,content,
CNT-00324,Newsletter piece #324,newsletter,2024-08-01,5789,308,newsletter,email,
CNT-00325,Youtube piece #325,youtube,2024-08-04,108757,1533,youtube,video,cmp_011
CNT-00326,Blog piece #326,blog,2024-07-28,2457,70,blog,content,cmp_006
CNT-00327,Newsletter piece #327,newsletter,2025-04-22,3571,77,newsletter,email,cmp_008
CNT-00328,Blog piece #328,blog,2025-04-25,5287,251,blog,content,cmp_006
CNT-00329,Newsletter piece #329,newsletter,2024-02-16,4863,75,newsletter,email,
CNT-00330,Podcast piece #330,podcast,2025-03-03,12563,293,podcast,audio,cmp_023
CNT-00331,Newsletter piece #331,newsletter,2024-12-11,7589,442,newsletter,email,cmp_008
CNT-00332,Blog piece #332,blog,2024-12-26,12677,212,blog,content,cmp_016
CNT-00333,Blog piece #333,blog,2024-03-01,50,0,blog,content,cmp_001
CNT-00334,Newsletter piece #334,newsletter,2024-05-20,6624,343,newsletter,email,
